"Title	Creator",ƒJƒ‰ƒ€ 2,ƒJƒ‰ƒ€ 3
Doyle," Arthur Conan	Sennecke"," Robert"
"Arthur Conan Doyle: The Hate of the Son	https://hispana.mcu.es/lod/oai:prensahistorica.mcu.es:1010756#ent3",,
"Arthur Conan Doyle : Le parasite	Unknown",,
"Arthur Conan Doyle en Espa?a : selecci?n bibliogr?fica	Unknown",,
"Centenaire de la naissance de Arthur CONAN DOYLE	Unknown",,
"The poems of Arthur Conan Doyle	http://data.europeana.eu/agent/109694",,
"Chronology of Conan Doyle	Unknown",,
"Jim Harrison boxer/Arthur Conan Doyle; trad. by Albert Savine	Doyle"," Arthur Conan (1859-1930). Author of the text",
"Schema und Variation in den Sherlock-Holmes-Stories von Arthur Conan Doyle	Unknown",,
"Conan Doyle. Asesinato regio	Emilia PARDO BAZ?N",,
